Level,FieldOfStudyId,ChangeFrac,NormalizedName,PID
0.0,15744967.0,0.0,psychology,228476
1.0,41895202.0,0.0,linguistics,228476
2.0,202889954.0,0.0,subjectivity,228476
0.0,86803240.0,0.03333333333333333,biology,228671
1.0,114614502.0,0.1695447409733124,combinatorics,228671
2.0,2776971825.0,0.06306306306306306,existence of god,228671
3.0,141513077.0,0.14634146341463414,independent and identically distributed random variables,228671
4.0,182514268.0,0.25,sum of normally distributed random variables,228671
5.0,143924541.0,0.5,outer measure,228671
0.0,17744445.0,0.2,political science,667784
1.0,50522688.0,0.125,economic growth,667784
2.0,2776597285.0,0.10256410256410256,equity,667784
3.0,121426985.0,0.25,private sector,667784
4.0,38731271.0,0.3333333333333333,private investment in public equity,667784
5.0,141083326.0,1.0,revolving credit,667784
0.0,162324750.0,0.4621212121212121,economics,424054
1.0,77088390.0,0.15384615384615385,database,424054
2.0,20522121.0,0.13178294573643412,computable general equilibrium,424054
3.0,82578977.0,0.10526315789473684,data aggregator,424054
4.0,2779190738.0,0.3333333333333333,trade diversion,424054
0.0,41008148.0,0.3275862068965517,computer science,178296
1.0,31258907.0,0.18781362007168456,computer network,178296
2.0,91280400.0,0.08653846153846154,mobile ad hoc network,178296
3.0,94523657.0,0.18117744610281922,wireless ad hoc network,178296
4.0,41971633.0,0.1839581517000872,key distribution in wireless sensor networks,178296
5.0,50558702.0,0.19230769230769232,geographic routing,178296
0.0,86803240.0,0.23529411764705888,biology,650411
1.0,95444343.0,0.6799999999999999,cell biology,650411
2.0,2781245598.0,0.2916666666666667,craniofacial,650411
3.0,126749454.0,0.2653061224489796,neural crest,650411
4.0,119062480.0,0.4,golgi apparatus,650411
5.0,79061702.0,0.2857142857142857,syntaxin 3,650411
0.0,71924100.0,0.15555555555555556,medicine,544343
1.0,55493867.0,0.225,biochemistry,544343
2.0,2778163477.0,0.2403846153846154,cholesterol,544343
3.0,175656101.0,0.14705882352941177,chinese hamster ovary cell,544343
4.0,2778552423.0,0.35714285714285715,npc1,544343
